#CODE;ENGLISH;FRENCH;;GERMAN;SPANISH;;;;;;;;;x
HAS_NOT_LOVER;Nemá milence;N'a pas d'amant(e);;Hat keinen Liebhaber;No tiene un amante;;;;;;;;;x
HAS_LOVER;Má milence;A un(e) amant(e);;Hat Liebhaber;Tiene un amante;;;;;;;;;x
FAM_IN_LAWS;Manelská pouta;Liens par mariage;;Ehebünde;Vinculos matrimoniales;;;;;;;;;x
REL_LOVER;Milenec;amant(e);;Liebhaber;Amante;;;;;;;;;x
TRIGGER_LOVER;Milenec;Amant(e);;Liebhaber;Amante;;;;;;;;;x
BREAK_AFFAIR_EFFECT;$WHO$ zrušil s §Y$SPOUSE$§W.\n;$WHO$ rompt avec §Y$SPOUSE$§W.\n;;$WHO$ trennt sich von §Y$SPOUSE$§W.\n;$WHO$ rompe con §Y$SPOUSE$§W.\n;;;;;;;;;x
ADD_LOVER_EFFECT;$WHO$ zamiloval se do §Y$SPOUSE$§W.\n;$WHO$ éprouve de l'amour pour §Y$SPOUSE$§W.\n;;$WHO$ verliebt sich in §Y$SPOUSE$§W.\n;$WHO$ se enamora de §Y$SPOUSE$§W.\n;;;;;;;;;x
EVTDESC3315;A probudil jsem se s køikem. Temnota mì pohltila a teï jsi nejsem jist touto misí. Nevím zda vydrím další hrùzy.;Je me réveille en pleine nuit en criant. L'obscurité m'effraie. Je me demande comment je vais supporter cette campagne.;;Ich wache des Nächtens schreiend auf. Die Dunkelheit ängstigt mich, und ich frage mich, wie ich diesen Feldzug überstehen soll.;Me despierto gritando por la noche. La oscuridad me asusta y sigo preguntándome cómo resistiré esta campaña.;;;;;;;;;x
EVTOPTA3315;Nejspíš mì nìkdo slyšel;Je crois que quelqu'un a tout entendu.;;Ich glaube, jemand hat mich gehört;Creo que alguien me oyó;;;;;;;;;x
EVTOPTB3315;Takto mì moji vojáci nebudou respektovat;Je vais perdre le respect de mes soldats.;;Meine Soldaten werden mich nicht respektieren.;Mis soldados no me respetarán.;;;;;;;;;x
EVTDESC60004;Velkı kagan poslal více bojovníkù jako pomoc našim dobyvaènım plánùm!;Le grand Khagan a envoyé des guerriers supplémentaires pour participer à notre conquête !;;Der Großkhan hat mehr Krieger für unsere Eroberung geschickt!;¡El Gran Khan ha enviado más guerreros para apoyar nuestra conquista!;;;;;;;;;x
EVTOPTA40021;Udìlím [From.GetObjectPronoun] nároky na pachatelovy tituly.;Je vais lui accorder les titres du coupable.;;Ich gewähre Euch einen Anspruch auf die Titel des Täters.;Le concederé una reclamación sobre los títulos del autor.;;;;;;;;;x
SETTLEMENT_YOUNGER_THAN;Osada je mladší ne $AGE$ rokù.\n;Propriété de moins de $AGE$ ans.\n;;Besitztum weniger als $AGE$ Jahre alt.\n;Población de menos de $AGE$ años.\n;;;;;;;;;x
