#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AIREASON_ALL_HELP_IS_APPRECIATED;Kadá pomoc se cenní;Toute aide est appréciable;Jegliche Hilfe ist willkommen;;Toda ayuda se agradece;;;;;;;;;x
RULER_JOINS_ENEMY_WAR_SETUP;Vladaø se pøipojil k válce proti nám;Un dirigeant nous déclare la guerre ;Ein Herrscher schließt sich einem Krieg gegen uns an;;Un gobernante se une a una guerra contra nosotros;;;;;;;;;x
RULER_JOINS_ENEMY_WAR_LOG;§Y$WHO$§! se pøidal k §Y$ENEMY$§! ve válce §Y$WAR$§!;§Y$WHO$§! a rejoint §Y$ENEMY$§! dans la §Y$WAR$§!;§Y$WHO$§! schließt sich §Y$ENEMY$§! im als §Y$WAR$§! bekannten Krieg an.;;§Y$WHO$§! Se ha unido a §Y$ENEMY$§! en la §Y$WAR$§!;;;;;;;;;x
joined_my_war;Pøidal se k mé válce;A rejoint ma guerre;Schloss sich meinem Krieg an;;Se ha unido a mi guerra;;;;;;;;;x
d_maghreb_corsairs;Maghrebské loïstvo;Marine barbaresque;Maghreb Marine;;Armada Magrebí;;;;;;;;;x
d_maghreb_corsairs_adj;Maghrebské;barbaresque;Maghrebinisch;;Magreb;;;;;;;;;x
k_frisia;Frísko;Frise;Friesland;;Frisia;;;;;;;;;x
k_frisia_adj;Fríská;frisonne;Friesisch;;Frisio;;;;;;;;;x
k_pomerania;Pomoøansko;Poméranie;Pommern;;Pomerania;;;;;;;;;x
k_pomerania_adj;Pomoøanská;poméranienne;Pommersch;;Pomerania;;;;;;;;;x
k_bavaria;Bavorsko;Bavière;Bayern;;Baviera;;;;;;;;;x
k_bavaria_adj;Bavorská;bavaroise;Bayerisch;;Bávaro;;;;;;;;;x
PLOT_TO_MURDER;Spiknutí vrady;Comploter pour assassiner;Mordanschlag;;Complot para asesinar a ;;;;;;;;;x
INITIAL_PLOT_POWER;Poèáteèní podpora spiknutí;Puissance initiale du complot;Anfängliche Verschwörungsstärke;;Poder del complot inicial;;;;;;;;;x
TITLE_RATING_LOWER_THAN;Hodnocení dreného titulu ménì ne;Rang du titre détenu inférieur à;Hielt Titel-Berechtigung weniger als;;Valoración del título en propiedad es menor de;;;;;;;;;x
TITLE_RATING_AT_LEAST;Hodnocení dreného titulu alespoò;Rang du titre détenu au moins égal à;Hielt Titel-Berechtigung mindestens;;Valoración del título en propiedad es al menos de;;;;;;;;;x
LOADING_TIP_48;Nominováním nìkoho na biskupa jej vyøadíš z pozice dìdice trùnu;La nomination de quelqu'un comme évêque va le disqualifier de la succession;Jemanden als Bischof einzusetzen, entfernt ihn aus jeder Erblinie.;;Nombrar a alguien obispo le descalifica para la sucesión ;;;;;;;;;x
LOADING_TIP_50;Chamtiví a všeobecnì poivaèní lidé mají dary radìji, ne ti ostatní.;Les sujets avares et généralement indulgents aiment beaucoup les cadeaux;Geizige und allgemein verschwenderische Charaktere mögen Geschenke mehr.;;Personajes codiciosos e indulgente generalmente les gustan más los regalos ;;;;;;;;;x
AIREASON_EAGER_TO_MURDER;Nemorální;Amoral;Amoralisch;;Inmoral;;;;;;;;;x
AIREASON_RELUCTANT_TO_MURDER;Morální pochyby;Scrupules ;Moralische Skrupel;;Escrúpulos morales;;;;;;;;;x
TITLE_CANNOT_USURP_SAME_REALM;Nemùeš se zmocnit titulu nìkoho ze stejného království, pokud na nìj nemáš silnı nárok;Ne peut usurper un titre de quiconque du même pays, sauf si vous avez une revendication forte;Man kann nicht einen Titel von jemandem desselben Reiches an sich reißen, außer man hat einen starken Anspruch;;No se puede usurpar un título de cualquier persona en el mismo reino a menos que tengas una reclamación ;;;;;;;;;x
REASONING;Dùvody;Raisonnement;Beweggründe;;Razonamiento;;;;;;;;;x
RulerDesignerDLC;Návrháø vladaøù;Créateur de personnage (Ruler Designer);Ruler Designer;;Diseñador de las Reglas;;;;;;;;;x
PLOT_CONDITION_FOR_YOU;Musí platit pro tebe;Doit être vrai pour vous;Muss zutreffen auf:;;Debe ser cierto para ti;;;;;;;;;x
PLOT_CONDITION_FOR_TARGET;Musí platit pro $TARGET$;Doit être vrai pour $TARGET$;Muss auf $TARGET$ zutreffen;;Debe ser cierto para $TARGET$;;;;;;;;;x
ALREADY_HAVE_AMBITION;Ji usiluje o $PLOT$;S'efforce déjà de $PLOT$;Strebt bereits einen $PLOT$ an;;Tratando de $PLOT$;;;;;;;;;x
SEND_GIFT_INTERACTION_LONG_DESC;Zasláním nákladného daru si u dané osoby zajistíš zvıšení jejího názoru na tebe o hodnotu odvozenou ze statní diplomacie a její chamtivosti. Lidé z tvé vlastní øíše dar neocení tak, jako lidé mimo ni.;Envoyer un cadeau coûteux à des sujets permet de mieux vous apprécier selon votre diplomatie d'État et leur cupidité. Les sujets de votre Royaume ne seront un peu moins reconnaissants de vos dons que les étrangers.;Das Versenden teurer Geschenke an Charaktere wird deren Meinung über Euch um einen Wert, der von deren Gier und Eurer Staatsdiplomatie abhängig ist, erhöhen. Charaktere in Eurem Reich werden Geschenken nicht so anerkennend gegenüberstehen wie Reichsfremde.;;El envío de un regalo costoso a los personajes mejorará su opinión de ti, por una cantidad en función de su diplomacia del Estado y su codicia. Los personajes en su reino no serán tan agradecidos de los regalos como los extranjeros.;;;;;;;;;x
