#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
temple_baron_west_african_pagan;Knìz;Prêtre;Priester;;Sacerdote;;;;;;;;;x
temple_baron_west_african_pagan_reformed;Knìz;Prêtre;Priester;;Sacerdote;;;;;;;;;x
temple_baron_female_west_african_pagan;Knìžka;Prêtresse;Priesterin;;Sacerdotisa;;;;;;;;;x
temple_baron_female_west_african_pagan_reformed;Knìžka;Prêtresse;Priesterin;;Sacerdotisa;;;;;;;;;x
MATCHMAKING_REFRESH_LAN_STOP;Stop Refreshing;Arrêter l'actualisation;Bitte warten;;;;;;;;;;;x
VS_REL_ENEMY;Damage Against Religious Enemies;Dégâts contre ses ennemis religieux;Schaden gegen religiöse Feinde;;Daño producido a un enemigo religioso;;;;;;;;;x
EXILE_IMPRISONED_INTERACTION_3;The banishment will cost you §R$PIETY$§! $PIETYNAME$.;L'exil vous coûtera §R$PIETY$§! en $PIETYNAME$.;Die Verbannung wird Euch §R$PIETY$§! $PIETYNAME$ kosten.;;La Destierro te costará §R$PIETY$§! de $PIETYNAME$.;;;;;;;;;x
S_TRO;ST;ST;ST;;ST;;;;;;;;;x
defenderbonus_jungle;Jungle;Jungle;Dschungel;;Jungla;;;;;;;;;x
HAS_AUTOCEPHALY;Has Autocephaly;A l'autocéphalie;Hat Autokephalie;;Tiene Autocefalía;;;;;;;;;x
HAS_NOT_AUTOCEPHALY;Does NOT have Autocephaly;N'a pas d'autocéphalie;Hat NICHT Autokephalie;;No tiene Autocefalía;;;;;;;;;x
